"age","ageMarried","monthsSinceM","pregnancies","children","sons","region","literacy"
45,"25to30",219,2,2,0,"lt10k","yes"
21,"15to18",60,1,1,1,"lt10k","yes"
48,"25to30",185,1,1,0,"lt10k","yes"
24,"18to20",71,2,2,1,"lt10k","yes"
46,"20to22",303,4,4,3,"lt10k","no"
42,"30toInf",64,0,0,0,"lt10k","yes"
42,"30toInf",126,1,1,1,"lt10k","yes"
35,"18to20",209,2,2,2,"lt10k","yes"
32,"22to25",116,1,1,0,"lt10k","yes"
47,"22to25",287,2,2,2,"lt10k","yes"
48,"22to25",321,2,2,1,"lt10k","no"
25,"18to20",79,1,1,1,"lt10k","yes"
32,"22to25",98,1,1,1,"lt10k","yes"
37,"15to18",248,2,2,2,"lt10k","yes"
41,"22to25",220,2,2,1,"10-20k","yes"
42,"15to18",304,4,4,3,"10-20k","yes"
25,"20to22",59,4,4,0,"10-20k","yes"
32,"18to20",141,3,3,1,"10-20k","yes"
30,"18to20",128,2,2,1,"10-20k","yes"
39,"20to22",225,2,2,1,"10-20k","yes"
30,"22to25",95,2,2,1,"10-20k","yes"
32,"20to22",133,2,2,2,"10-20k","yes"
27,"20to22",79,2,2,1,"10-20k","yes"
34,"18to20",191,2,2,1,"10-20k","yes"
34,"25to30",108,1,1,1,"10-20k","yes"
34,"18to20",190,6,6,4,"10-20k","yes"
23,"18to20",51,3,3,2,"10-20k","yes"
37,"22to25",180,1,1,1,"10-20k","yes"
33,"25to30",72,2,2,2,"10-20k","yes"
39,"25to30",159,2,2,0,"10-20k","no"
22,"20to22",28,2,1,1,"10-20k","yes"
31,"20to22",114,2,2,2,"10-20k","yes"
30,"20to22",109,2,2,0,"10-20k","yes"
35,"22to25",154,1,1,0,"10-20k","yes"
21,"20to22",15,0,0,0,"10-20k","yes"
34,"22to25",121,1,1,1,"10-20k","yes"
36,"25to30",120,2,2,0,"10-20k","yes"
35,"22to25",148,2,2,1,"10-20k","yes"
36,"15to18",227,0,0,0,"10-20k","yes"
30,"20to22",61,3,3,2,"10-20k","yes"
33,"20to22",139,2,2,0,"10-20k","yes"
32,"22to25",118,1,1,1,"10-20k","yes"
38,"20to22",202,1,1,1,"10-20k","yes"
23,"20to22",26,1,1,1,"10-20k","yes"
37,"22to25",166,2,2,1,"10-20k","yes"
48,"25to30",249,1,1,0,"10-20k","yes"
21,"18to20",35,1,0,0,"10-20k","yes"
18,"0to15",35,1,1,1,"10-20k","yes"
45,"30toInf",178,3,3,1,"10-20k","no"
44,"15to18",357,2,2,2,"10-20k","yes"
31,"0to15",203,5,5,3,"10-20k","yes"
36,"22to25",166,2,2,1,"10-20k","yes"
32,"18to20",149,2,2,1,"10-20k","yes"
49,"22to25",297,1,1,1,"10-20k","no"
21,"20to22",3,1,0,0,"10-20k","yes"
32,"18to20",172,3,3,2,"10-20k","yes"
48,"18to20",361,4,4,1,"10-20k","yes"
39,"25to30",128,1,1,1,"10-20k","no"
25,"15to18",119,2,2,0,"10-20k","yes"
45,"22to25",268,4,4,0,"10-20k","no"
46,"25to30",241,4,4,2,"10-20k","yes"
21,"18to20",39,1,1,0,"10-20k","yes"
36,"20to22",196,2,2,1,"10-20k","yes"
49,"15to18",381,3,3,1,"10-20k","yes"
39,"18to20",246,2,2,0,"10-20k","yes"
48,"25to30",233,2,2,1,"lt10k","yes"
31,"18to20",146,2,2,0,"lt10k","yes"
23,"22to25",1,0,0,0,"lt10k","yes"
18,"15to18",45,1,1,0,"lt10k","yes"
32,"22to25",96,2,2,0,"lt10k","yes"
26,"18to20",78,2,2,2,"lt10k","yes"
24,"15to18",104,2,2,1,"lt10k","yes"
38,"15to18",273,3,3,2,"lt10k","yes"
39,"22to25",175,2,2,1,"lt10k","yes"
20,"15to18",34,1,1,1,"lt10k","yes"
41,"22to25",238,2,2,0,"lt10k","yes"
42,"18to20",281,1,1,1,"lt10k","yes"
47,"18to20",346,2,2,1,"lt10k","yes"
40,"22to25",200,1,1,1,"lt10k","yes"
46,"20to22",307,2,2,2,"lt10k","yes"
38,"15to18",265,3,3,0,"lt10k","yes"
46,"25to30",230,2,2,1,"lt10k","yes"
31,"15to18",183,2,2,1,"lt10k","yes"
25,"18to20",75,2,2,1,"lt10k","yes"
39,"18to20",246,3,3,2,"lt10k","yes"
29,"25to30",8,1,0,0,"lt10k","yes"
41,"25to30",164,2,2,1,"lt10k","yes"
40,"22to25",185,3,3,1,"lt10k","yes"
42,"20to22",263,1,1,0,"lt10k","yes"
26,"22to25",22,1,1,0,"lt10k","yes"
47,"25to30",240,2,2,2,"lt10k","yes"
31,"0to15",100,3,3,2,"lt10k","no"
43,"18to20",289,2,2,1,"lt10k","yes"
20,"18to20",14,1,0,0,"lt10k","yes"
24,"20to22",58,2,2,2,"lt10k","yes"
40,"22to25",210,1,1,0,"lt10k","yes"
48,"25to30",235,2,2,1,"lt10k","yes"
47,"15to18",357,5,5,2,"lt10k","yes"
36,"22to25",164,1,1,1,"lt10k","yes"
32,"22to25",110,5,5,5,"20k+","yes"
34,"20to22",166,4,4,2,"20k+","yes"
45,"20to22",303,4,5,4,"20k+","no"
46,"30toInf",181,4,4,1,"20k+","yes"
21,"20to22",10,0,0,0,"20k+","yes"
18,"15to18",13,1,1,1,"20k+","yes"
42,"18to20",266,3,3,2,"20k+","yes"
19,"18to20",6,0,0,0,"20k+","yes"
30,"20to22",117,2,2,2,"20k+","yes"
40,"18to20",216,4,4,1,"20k+","no"
27,"20to22",78,2,2,2,"20k+","yes"
29,"20to22",101,1,1,0,"20k+","yes"
49,"18to20",367,3,3,2,"20k+","yes"
41,"25to30",144,2,2,2,"20k+","yes"
26,"20to22",58,1,1,0,"20k+","yes"
31,"20to22",139,2,2,0,"20k+","yes"
46,"18to20",337,6,6,2,"20k+","no"
48,"22to25",287,1,1,1,"20k+","yes"
34,"22to25",119,3,3,2,"20k+","yes"
31,"25to30",70,0,0,0,"20k+","yes"
46,"25to30",225,0,0,0,"20k+","yes"
48,"25to30",251,3,3,3,"20k+","no"
36,"20to22",194,2,2,2,"20k+","yes"
42,"25to30",209,2,2,1,"20k+","yes"
35,"20to22",168,2,2,2,"20k+","yes"
36,"18to20",200,3,3,2,"20k+","yes"
32,"20to22",147,2,2,0,"20k+","yes"
24,"20to22",53,1,1,1,"20k+","yes"
42,"15to18",302,4,4,1,"20k+","yes"
37,"22to25",158,3,3,2,"20k+","yes"
37,"22to25",170,2,2,0,"20k+","yes"
46,"22to25",265,2,2,2,"20k+","no"
32,"20to22",143,4,4,3,"20k+","yes"
27,"22to25",54,2,2,2,"20k+","yes"
49,"18to20",362,14,14,8,"20k+","no"
39,"22to25",175,2,2,2,"20k+","yes"
44,"30toInf",142,1,1,0,"20k+","yes"
32,"15to18",183,2,2,2,"20k+","yes"
38,"25to30",120,2,2,1,"20k+","yes"
35,"25to30",122,1,1,1,"20k+","yes"
35,"25to30",114,2,2,1,"20k+","yes"
31,"22to25",98,2,2,0,"20k+","yes"
49,"22to25",307,2,2,0,"20k+","yes"
32,"20to22",122,3,3,1,"20k+","yes"
35,"30toInf",41,2,2,0,"20k+","yes"
35,"22to25",135,2,2,1,"20k+","yes"
31,"22to25",112,3,3,2,"20k+","yes"
29,"22to25",59,0,0,0,"20k+","yes"
29,"25to30",22,1,1,1,"20k+","yes"
38,"25to30",133,2,2,1,"20k+","yes"
26,"22to25",48,1,0,0,"20k+","yes"
29,"22to25",73,1,1,0,"20k+","yes"
39,"22to25",208,2,2,2,"20k+","yes"
43,"25to30",176,2,2,2,"20k+","yes"
36,"20to22",93,1,1,0,"20k+","yes"
36,"18to20",142,1,1,1,"20k+","yes"
27,"20to22",80,3,3,2,"20k+","yes"
35,"25to30",102,2,2,1,"20k+","yes"
38,"25to30",147,2,2,1,"20k+","yes"
35,"20to22",179,2,2,2,"20k+","yes"
47,"18to20",352,4,4,2,"20k+","yes"
27,"22to25",59,1,1,0,"20k+","yes"
48,"18to20",343,1,1,1,"20k+","yes"
45,"25to30",239,2,2,1,"20k+","yes"
33,"25to30",97,3,3,1,"20k+","yes"
38,"22to25",183,3,3,2,"20k+","yes"
47,"22to25",248,1,1,1,"20k+","yes"
28,"0to15",123,4,5,4,"20k+","yes"
47,"15to18",375,4,4,2,"20k+","yes"
27,"22to25",49,1,1,1,"20k+","yes"
19,"15to18",30,2,2,2,"20k+","yes"
24,"22to25",18,1,1,1,"20k+","yes"
46,"22to25",281,3,3,1,"20k+","yes"
29,"22to25",83,2,2,1,"20k+","yes"
46,"25to30",250,2,2,1,"lt10k","yes"
34,"18to20",183,10,10,8,"lt10k","yes"
36,"22to25",170,8,8,5,"lt10k","no"
49,"20to22",347,8,8,3,"lt10k","no"
20,"18to20",15,1,1,0,"lt10k","yes"
30,"22to25",81,2,2,1,"lt10k","yes"
35,"18to20",207,7,7,4,"lt10k","yes"
34,"25to30",99,0,0,0,"lt10k","yes"
23,"18to20",47,2,2,0,"lt10k","yes"
48,"15to18",378,10,11,4,"lt10k","no"
41,"15to18",283,3,3,2,"lt10k","no"
42,"30toInf",42,1,1,0,"lt10k","yes"
37,"20to22",195,5,5,2,"lt10k","yes"
47,"18to20",339,2,2,1,"lt10k","no"
37,"18to20",217,3,3,2,"lt10k","yes"
25,"22to25",34,1,1,1,"lt10k","yes"
29,"20to22",110,3,3,1,"lt10k","yes"
44,"15to18",338,3,3,1,"lt10k","no"
21,"18to20",30,2,2,2,"lt10k","yes"
35,"22to25",133,4,4,2,"lt10k","yes"
26,"22to25",46,2,1,1,"lt10k","yes"
48,"22to25",192,4,4,3,"lt10k","no"
41,"15to18",288,4,4,3,"lt10k","yes"
38,"20to22",220,4,4,1,"lt10k","yes"
23,"22to25",10,1,1,0,"lt10k","yes"
20,"18to20",23,2,1,1,"lt10k","yes"
49,"22to25",311,11,11,5,"lt10k","no"
38,"25to30",133,1,1,0,"lt10k","yes"
48,"20to22",342,10,10,2,"lt10k","no"
49,"20to22",343,0,0,0,"lt10k","no"
45,"22to25",280,2,2,0,"lt10k","yes"
19,"18to20",11,1,0,0,"lt10k","yes"
31,"20to22",130,3,3,1,"lt10k","yes"
40,"22to25",214,2,2,2,"lt10k","no"
47,"22to25",246,4,4,1,"lt10k","no"
22,"18to20",50,1,1,1,"lt10k","yes"
48,"22to25",298,6,6,2,"lt10k","no"
40,"18to20",245,3,3,2,"lt10k","yes"
36,"20to22",179,5,5,0,"lt10k","yes"
18,"15to18",23,1,1,0,"lt10k","yes"
34,"25to30",95,3,3,2,"lt10k","yes"
46,"18to20",86,0,0,0,"lt10k","yes"
35,"15to18",212,10,10,5,"lt10k","yes"
24,"20to22",35,0,0,0,"lt10k","yes"
21,"18to20",42,2,2,1,"lt10k","yes"
24,"20to22",40,2,2,0,"lt10k","yes"
35,"22to25",37,1,1,0,"lt10k","yes"
43,"18to20",287,2,2,0,"lt10k","yes"
45,"20to22",306,4,4,4,"lt10k","yes"
24,"18to20",63,2,2,1,"lt10k","yes"
38,"20to22",225,2,2,2,"lt10k","yes"
31,"18to20",138,2,2,1,"lt10k","yes"
31,"30toInf",8,1,0,0,"lt10k","yes"
24,"18to20",65,2,1,1,"lt10k","yes"
22,"20to22",27,1,1,0,"lt10k","yes"
29,"22to25",85,1,1,1,"lt10k","yes"
33,"22to25",135,2,2,2,"lt10k","yes"
32,"20to22",141,2,2,1,"lt10k","yes"
30,"20to22",121,1,1,1,"lt10k","yes"
